state,low,avg,high
HI,1188,1550,1959
AK,1113,1297,1455
FL,972,1204,1788
SC,912,1021,1176
GA,663,969,1203
AL,690,889,1008
NC,876,1018,1206
TN,792,1017,1404
RI,1098,1170,1212
CT,1062,1612,2307
MA,1158,1552,2262
ME,777,946,1245
NH,1194,1279,1365
VT,1476,1476,1476
NY,867,1527,2769
NJ,1014,1414,1701
PA,627,1076,1533
DE,1137,1137,1137
MD,1011,1407,1794
WV,813,850,927
KY,720,835,1014
OH,663,894,1104
MI,681,865,1149
WY,714,714,714
MT,654,685,717
ID,630,702,774
WA,744,1059,1602
DC,1767,1767,1767
TX,690,975,1272
CA,633,1389,3048
AZ,657,852,1125
NV,660,861,1044
UT,792,879,933
CO,1038,1231,1392
NM,678,824,981
OR,642,879,1263
ND,789,889,978
SD,762,783,804
NE,777,846,915
IA,924,924,924
MS,651,838,987
IN,729,805,897
IL,741,960,1467
MN,978,1050,1122
WI,621,942,1173
MO,651,781,978
AR,582,733,951
OK,639,783,963
KS,780,817,891
LA,735,916,1086
VA,783,1192,1554
